Contract_No.,Owner,Price,New_owner,Percent
1,Helen Rosario,1732378,Inga Little,3
2,Vielka Hewitt,1957895,Quynn Gilbert,9
3,Raymond Craft,1408572,Rahim Jennings,4
4,Drew Mcbride,1449919,Lewis Roberson,3
5,George Carver,2876737,Axel Craig,2
6,Xyla Yang,2259036,Rylee Peterson,7
7,Roanna Mckenzie,2864977,Natalie Simmons,8
8,Rahim Powell,2823684,Lee Bell,3
9,Angelica Best,2116025,Yoshi Wolfe,8
10,Clio Baker,1340336,Gary Hale,2
11,Armando Landry,1613647,Galvin Marsh,6
12,Rylee Johnson,2158330,Levi Clark,8
13,Briar Forbes,1941840,Rogan Flowers,5
14,Rachel Galloway,1190598,Erasmus Hardy,4
15,Sylvia Scott,1770916,Benjamin Delacruz,5
16,Hayes Waters,2821755,Armand Johns,7
17,Tobias Beck,2007723,Kylee Fowler,9
18,Avram Newton,2493858,Aladdin Spencer,4
19,Lesley Norris,2885452,Simone Clements,8
20,Zachary Cruz,1754751,Vera Middleton,1
21,Gloria Olson,1083974,Cullen Barlow,2
22,Quon Garza,2862311,Allen Conway,5
23,Kamal Douglas,1439144,Norman Sutton,6
24,Julie Trevino,1962008,Kristen Ware,7
25,Jessica Kerr,2795362,Leila Carey,10
26,Tad Pena,1125152,Cullen Mooney,3
27,Quentin Harrington,1744425,Karyn Knapp,6
28,Ima Stevenson,1943807,Addison Mathis,6
29,Keith Ingram,1641720,Samson Gillespie,3
30,Gloria Barr,2618192,Palmer Goodwin,10
31,Jeremy Padilla,1528230,Quamar Carter,1
32,Bryar Kinney,1065104,Sierra Eaton,3
33,Jermaine Gardner,1209205,Gavin Powers,8
34,Chancellor Marsh,2625263,Ingrid Massey,9
35,Phillip Bean,2273551,Devin Ryan,8
36,Bertha Rocha,2347437,Driscoll Robinson,7
37,Porter Brock,1964017,Sharon Hansen,5
38,Evan Mcintyre,2179637,Colby Olsen,10
39,Jarrod Barrera,1503903,Hakeem Macias,7
40,Daryl Gilliam,2366974,Elmo Roth,8
41,Ramona Roman,2780542,Rama Macdonald,4
42,Elvis Tillman,1875999,Quentin Wiggins,9
43,Wang Talley,2273131,Thane Mosley,9
44,Dara Reynolds,2597486,Drake Gross,2
45,Hiram Bruce,1679557,Isabella Rowe,6
46,Chelsea Whitehead,1004456,Ashton Owen,6
47,Aileen Barnes,2254981,Baxter Todd,6
48,Evelyn Hyde,1962966,Joel Dillard,7
49,Zena Nelson,2370286,Finn Everett,2
50,Miriam Mcdowell,2451085,Avram Martinez,7
51,Jack Mason,1685933,Lana Dale,9
52,Molly Harrell,1518746,Felix Avery,5
53,Leigh Buckley,2593795,Perry Carver,4
54,Abraham Bennett,2381347,Tamekah Fletcher,7
55,Mohammad May,1100872,Gabriel Ray,2
56,Clinton Alford,2212483,Xavier Vazquez,5
57,Jerome Benton,2331162,Jameson Neal,2
58,Bert Patrick,1286804,Myra Sanchez,2
59,Darrel Albert,2629387,Kasper Rocha,7
60,Jacob Holmes,1155190,Ciaran Ford,9
61,Yen Olsen,2658291,Lee Jacobson,9
62,Gil Bryan,2697316,Graiden Waller,2
63,Winifred Barrera,1393547,Iola Aguilar,4
64,Sybill Dudley,2793607,Kay Herrera,9
65,Carl Lee,1526724,Zachery Mann,9
66,Julie Davidson,1387693,Basil Howard,8
67,Eric Patrick,1652968,Nora Conley,7
68,Phillip Spencer,1938890,Brett Gibbs,2
69,Geraldine Mcneil,1066842,Melinda Tillman,2
70,Francis O'connor,1618901,Nicholas Parsons,4
71,Darrel Rose,1134325,Colt Rasmussen,4
72,Wyoming Sanders,2462923,Yoshi Lopez,4
73,Dustin Travis,2987942,Raja Allison,9
74,Eaton Haynes,1352925,Anastasia Padilla,7
75,Buckminster Clemons,1723645,Zenia Peters,9
76,Vance Holmes,2702666,Fiona Evans,3
77,Shafira Duncan,2603286,Yen Knapp,9
78,Judah Barton,2753483,Xenos Alexander,9
79,Haviva Mays,1142894,Beau Warren,8
80,Zelda Dale,1805459,Galena Ray,10
81,Michael Snyder,1713177,Walker Schmidt,5
82,Myles Britt,1521073,Hillary Mueller,9
83,Ginger Callahan,1114025,Leah Hines,6
84,Desiree Anthony,1489443,Shea Bolton,5
85,Dara Watts,2168318,Maisie Lane,5
86,Uriel Colon,2248894,Gwendolyn Reynolds,7
87,Baker Rojas,2859420,Brielle Moore,7
88,August Quinn,1448771,Jackson Santos,6
